@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
2.167256,0.233348,0.461817,0.436978,14.751511,58.096855,108.465668,181.590103,132.035904,156.949219,0.835698,c1
5.460209,2.445993,0.850294,0.479867,18.852797,43.488262,89.243187,189.394669,165.162567,99.685524,0.903681,c1
2.016186,0.125529,0.572263,0.421110,17.045858,26.760612,47.597645,160.093536,235.590424,102.584114,0.569118,c1
2.230811,0.387708,0.491610,0.602109,15.617294,18.118322,72.237297,314.943970,202.044464,84.756989,1.269781,c1
2.548769,0.412303,0.219880,0.544290,15.180996,125.760620,148.670731,128.805145,138.454544,132.544556,0.699355,c1
1.685590,0.330763,0.676643,0.312774,16.730421,16.768732,70.693245,212.310867,141.291763,209.701126,0.769531,c1
2.075731,0.510057,0.627401,0.204445,13.572104,35.777954,43.361282,122.961449,234.634430,238.369659,0.326904,c1
1.935990,0.128409,0.604062,0.423866,20.708084,20.064547,68.047699,277.944305,134.962799,167.212051,1.073711,c1
2.408911,0.760728,0.530273,0.545640,17.922319,51.167084,79.420013,239.749008,134.439896,114.133781,1.064817,c1
2.278643,0.520557,0.587594,0.312931,15.739142,26.822620,54.803276,106.861618,252.389069,167.880936,0.361591,c1
2.202378,0.412045,0.498742,0.588323,16.406528,58.048012,122.036987,153.378876,154.520081,81.799400,0.935619,c1
2.178395,0.427395,0.592795,0.569656,20.329878,55.485432,109.732758,252.316589,160.132278,90.002159,1.184639,c1
2.232904,0.245354,0.409070,0.739436,18.167986,89.049850,180.269409,197.413925,170.651321,38.095814,1.268258,c1
2.635949,0.372710,0.204663,0.586619,20.614958,61.306438,123.167908,116.427818,231.210938,65.866348,0.668545,c1
2.977723,1.100628,0.258958,0.758914,18.441149,48.621628,189.802704,250.780319,70.514809,39.301868,2.780786,c1
2.113348,0.636770,0.612529,0.633856,14.874841,31.349852,119.081268,308.804504,162.599167,77.033813,1.579014,c1
2.691510,0.607318,0.390429,0.696603,18.392485,63.671646,151.486572,228.809433,146.386932,45.842125,1.486108,c1
