@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
2.422741,0.720249,0.406173,0.761291,19.779089,62.314034,161.743088,262.374817,155.657700,33.412022,0.014272,c1
2.151059,0.524232,0.310891,0.708198,21.557478,85.830376,127.201080,198.738556,122.078926,50.501453,0.011036,c1
3.188004,1.269168,0.325245,0.647049,18.309443,65.964050,100.413788,232.211441,181.200958,68.897285,0.015368,c1
2.585091,0.651736,0.487540,0.543046,13.212427,53.587399,107.114906,169.914322,123.346878,94.263405,0.015971,c1
2.756990,0.745345,0.373019,0.584270,18.628336,71.620377,108.368462,200.289627,70.018723,94.229019,0.022698,c1
2.286099,0.205234,0.417707,0.827708,19.975876,193.183609,235.213287,155.388031,69.843918,29.371958,0.011484,c1
2.212801,0.570519,0.479091,0.435425,10.520257,66.763031,74.237175,104.651588,117.888084,128.693787,0.015647,c1
2.552167,0.729070,0.458363,0.655703,20.514030,56.104977,148.711838,259.430817,101.011147,68.852722,0.019099,c1
2.642049,0.970102,0.273903,0.591895,12.112218,80.220963,126.300407,257.913055,86.219292,94.813515,0.007705,c1
2.394403,0.475913,0.287929,0.445808,13.391355,60.945698,126.610870,145.908264,86.652946,179.604019,0.038569,c1
2.878605,1.057677,0.309570,0.534143,18.393297,53.964142,121.193634,184.875366,153.701111,102.369644,0.010166,c1
2.185559,0.399376,0.492015,0.672510,13.456193,67.594620,125.152939,274.757416,122.559906,70.884796,0.012803,c1
3.157653,1.091174,0.014240,0.614346,17.999720,43.202705,121.172562,268.694763,140.975952,79.979088,0.028606,c1
2.710079,0.741523,0.281195,0.772495,19.699259,210.764648,182.814423,136.513916,72.231712,52.624649,0.025436,c1
2.069244,3.947125,0.344563,0.328530,18.563263,26.041166,51.820534,149.429718,182.339142,135.183731,0.021505,c1
2.340269,0.454881,0.290002,0.551110,17.024609,67.163551,141.832779,234.323669,66.898834,128.541718,0.016033,c1
2.038304,0.393283,0.534000,0.796860,16.246908,73.816231,171.749878,318.106567,77.191917,32.523804,0.016811,c1
2.244549,0.055193,0.228880,0.566844,17.563498,31.992367,74.777199,229.871933,174.275040,89.845909,0.041566,c1
1.772688,0.362998,0.614424,0.821696,19.289028,82.074295,154.987106,290.124084,97.326675,19.323244,0.025323,c1
1.706775,0.235715,0.723253,0.601896,11.817402,47.426720,109.933334,259.442230,159.820877,83.329948,0.008268,c1
1.739332,0.329272,0.703100,0.797249,17.057335,64.391235,207.094818,286.846558,76.763359,32.097839,0.021352,c1
2.973721,1.125189,0.011543,0.674945,20.821934,55.049461,94.208092,302.455505,175.594635,45.073898,0.008999,c1
2.608683,0.819704,0.468140,0.671623,17.516132,41.948902,108.247025,286.454132,122.541290,60.270290,0.007515,c1
1.719818,0.020889,0.564095,0.706211,16.569880,26.868176,102.537888,277.400604,123.904594,44.400085,0.019971,c1
2.190401,0.554057,0.378967,0.649369,22.749245,18.028334,71.114899,327.971466,157.683670,64.692825,0.008493,c1
2.497462,0.625986,0.363732,0.712778,20.605289,58.301289,156.765076,269.945831,89.204903,67.072533,0.031421,c1
2.579818,0.963404,0.349098,0.801882,20.735073,62.893135,170.409897,341.410919,105.989418,24.400450,0.005763,c1
3.585984,1.500193,0.045107,0.772702,18.554518,64.560059,108.749969,324.436829,117.951080,28.187178,0.011634,c1
1.951734,0.091497,0.674135,0.625356,20.838690,22.701363,76.246056,301.851898,186.439117,78.007538,0.050830,c1
2.548229,0.852358,0.429518,0.710344,19.574903,75.921448,174.112137,255.796310,96.571724,53.919289,0.015301,c1
2.485390,0.567182,0.310095,0.469165,12.204729,19.139040,58.658394,276.623566,144.843521,129.586151,0.012429,c1
2.542077,0.819090,0.431140,0.621721,19.237499,43.045063,106.351364,225.582153,147.438644,65.792061,0.016004,c1
2.048888,0.361341,0.524570,0.723039,18.076445,56.789280,111.742172,296.392181,159.567291,41.412212,0.014911,c1
2.260097,0.603598,0.590036,0.717888,17.478277,96.005379,146.294601,240.595535,101.570587,54.895130,0.013272,c1
1.940591,0.017424,0.548623,0.484163,14.329074,29.888369,64.196594,202.593338,232.224884,96.597183,0.025296,c1
2.180796,0.552385,0.517114,0.622567,16.257137,57.940250,99.943565,203.952042,176.754120,65.445755,0.019627,c1
2.539051,0.787946,0.495026,0.594580,18.902206,40.859730,69.243736,226.191483,174.483353,83.116470,0.007180,c1
2.529978,0.756745,0.434010,0.687980,21.751181,46.191353,106.331451,299.720734,161.534821,52.560455,0.017241,c1
2.554812,0.764947,0.489929,0.490302,13.292382,16.244518,44.314899,211.896011,184.414047,100.828545,0.024670,c1
2.513660,0.574881,0.361711,0.352823,16.419706,69.766052,107.403969,178.376266,98.806854,207.151352,0.007415,c1
2.073503,0.302072,0.546332,0.603541,17.771677,66.494507,138.389862,198.783875,113.978088,107.821846,0.024988,c1
2.056486,0.068135,0.372697,0.449629,16.050674,36.183395,94.059853,147.835922,232.974960,148.028809,0.026008,c1
2.167918,0.493566,0.449016,0.642337,18.143127,65.358963,112.618721,225.976379,124.527016,75.888832,0.012425,c1
1.964871,0.141382,0.581826,0.645848,17.662605,84.428375,177.620346,230.133270,120.847115,89.622734,0.022020,c1
2.459627,0.573191,0.329900,0.492845,18.484385,79.482170,130.723907,163.503448,156.642822,152.393997,0.036066,c1
2.476498,0.653082,0.202755,0.716088,16.297789,72.796463,172.063614,272.748840,106.538933,61.511398,0.020060,c1
3.481489,1.467963,0.241238,0.879122,22.041792,100.465462,203.129929,287.136139,44.005039,14.381846,0.000565,c1
2.248070,0.641621,0.462353,0.782635,21.432625,89.798958,176.592102,281.508026,105.432190,31.565563,0.019444,c1
2.216021,0.395925,0.528775,0.214702,11.624048,24.446543,39.736721,216.616501,163.359253,250.615295,0.022666,c1
2.144251,0.348010,0.526638,0.200440,9.961436,12.317056,32.712082,216.086334,164.626434,275.629730,0.033975,c1
2.108680,0.400141,0.544153,0.611369,21.401432,110.952881,138.810043,219.222305,97.215073,110.490852,0.017138,c1
2.289244,0.525739,0.488487,0.744296,16.155792,72.236771,140.047791,298.536346,114.657600,44.518154,0.014196,c1
2.844780,0.097545,0.098534,0.665421,18.322737,68.501808,119.952774,213.583984,126.294579,65.119324,0.019539,c1
2.207298,0.283810,0.474491,0.215918,11.011690,34.141510,73.131210,176.336578,124.531975,257.715576,0.026942,c1
2.247166,0.528037,0.378054,0.682253,15.069575,88.967995,158.966705,263.207916,81.445587,80.922997,0.008612,c1
2.818578,1.071940,0.389235,0.462016,16.689632,60.092716,118.916847,160.164932,153.772324,142.830017,0.017507,c1
2.400114,0.641170,0.481029,0.730599,11.410316,136.735413,179.265503,189.252029,110.789925,50.436508,0.010819,c1
1.955273,0.365221,0.529887,0.653673,18.216408,31.121315,135.632156,217.889725,113.225815,69.830582,0.013705,c1
2.729156,0.963153,0.317906,0.777961,19.957001,134.472488,218.128647,147.249832,74.222595,50.654793,0.007648,c1
2.201934,0.523211,0.601054,0.784134,15.145084,123.322701,212.383224,232.095810,76.948616,39.955456,0.017910,c1
2.286175,0.409319,0.426561,0.640568,14.705434,81.968361,170.632904,228.856827,86.733849,98.374763,0.015890,c1
2.486102,0.750180,0.500041,0.690298,18.125986,91.989182,174.228287,211.576706,111.594696,69.579773,0.015704,c1
1.593120,0.224486,0.760294,0.634659,16.772488,119.068863,142.168579,126.942490,199.089783,61.007195,0.036290,c1
2.578784,0.893419,0.294075,0.802909,17.704487,80.627975,182.681564,294.783691,75.698387,38.111511,0.010228,c1
2.830825,1.016308,0.418796,0.734911,19.492077,102.073196,154.581818,214.252441,115.131241,52.604702,0.011549,c1
